Rank,Name,Country,Region,Affiliation,Age,Height,Weight
203,Ruslan Miftakhov,Asia,Age 27,180 cm | 90 kg,27,180 cm,90 kg
204,Mitch Griffith,United States,North America East,CrossFit Explode,24,66 in,187 lb
205,Felix Sobron,Spain,Europe,CrossFit Big Rhino,30,,
206,Nicholas Anapolsky,Canada,North America East,CrossFit PSC,34,69 in,185 lb
207,Zane Parise,United States,North America East,Branford CrossFit,24,68 in,180 lb
208,Lucas Da Rosa,Brazil,South America,CrossFit Mayhem,27,184 cm,90 kg
209,Philip Lundqvist,Sweden,Europe,CrossFit Nordic,25,178 cm,85 kg
210,Valerio Proietti,Italy,Europe,Prenestina CrossFit,31,187 cm,95 kg
211,Benjamin Newland,Australia,Oceania,CrossFit Underway,27,178 cm,91 kg
212,Joao Pedro Barcelos,Brazil,South America,CrossFit Lago Sul,22,177 cm,88 kg
213,Rafa Fernandez Boza,Spain,Europe,CrossFit Gualas,28,,
214,Isaac Newman,Australia,Oceania,,25,,
215,Jeremiah Bailey,United States,North America West,Turn 2 CrossFit,27,70 in,205 lb
215,Cj Gerald,United States,North America West,,29,67 in,180 lb
217,Txete Garriga Baltrons,Spain,Europe,CrossFit 77 Feet,26,,
218,Ben Davidson,United States,North America East,CrossFit Mayhem,26,70 in,195 lb
219,Alex Vigneault,Canada,North America East,,31,71 in,205 lb
220,Marcus Ericsson,Sweden,Europe,CrossFit Holistic,30,186 cm,94 kg
220,Pablo Chalfun,Brazil,South America,,30,173 cm,88 kg
222,Caleb Sokolowski,United States,North America East,CrossFit in the D,25,69 in,190 lb
223,Luke Fowler,New Zealand,Oceania,CrossFit Selwyn,23,169 cm,86 kg
224,Jeremy Reijnders,Netherlands,Europe,CrossFit Vondelgym South,28,179 cm,90 kg
225,Luke Burns,United States,North America East,Solidarity CrossFit,25,70 in,178 lb
226,Miso Papak,Bosnia and Herzegovina,Europe,,26,,
227,Robert Dopke,Germany,Europe,,26,178 cm,88 kg
228,Nyko Flores,United States,North America West,Kulak CrossFit,24,69 in,164 lb
229,Joe Pierro,United States,North America East,CrossFit Move Fast Lift Heavy,26,67 in,200 lb
229,Tyler Thompson,United States,North America East,CrossFit Zapped,25,70 in,193 lb
231,Hamza Abdalfatah,Palestinian Territory,Asia,CrossFit Rome,28,173 cm,88 kg
232,Anthony Davis,United States,North America West,Timberwolf CrossFit,28,69 in,212 lb
232,Jayden Azzopardi,Australia,Oceania,CrossFit Botany,25,178 cm,88 kg
234,Josh Woodhull,United States,North America East,CrossFit High Caliber,32,73 in,210 lb
235,Rees Machell,Australia,Oceania,CrossFit SFS,25,174 cm,82 kg
236,Augusto Gesso,Italy,Europe,,30,178 cm,90 kg
237,George Rhigas,Australia,Oceania,CrossFit Adelaide,28,173 cm,86 kg
238,Patrick Gomes,Brazil,South America,,26,164 cm,72 kg
239,Joey Denison,United States,North America East,3 Bridges CrossFit,28,,
240,Benjamin Wise,United States,North America East,CrossFit Lumber Capital,29,67 in,195 lb
241,Kristóf Horváth,Hungary,Europe,CrossFit 72D,29,189 cm,103 kg
242,Sarin Suvanasai,United States,North America East,CrossFit NBHD,24,71 in,190 lb
243,William Henriksen,Denmark,Europe,Aarhus CrossFit,22,188 cm,98 kg
244,Asier Sanchez,Spain,Europe,CrossFit Bikain,28,180 cm,180 lb
