,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
16564,Madelyn Warren,Adapt CrossFit,,,,Australia,Women,,110 kg,,85 kg,130 kg,,32:44,,,13:43,,11,,65 kg,1:23
16597,Jonas Brännmyr,,,"2023 open
27404th
worldwide",27404th,worldwide,Men,Men (35-39),85 kg,,60 kg,102 kg,,,,,,,6,19:45,38 kg,
16628,Shelley Jackson,CrossFit Myrtle Beach,,,,North America,Women,,210 lb,,125 lb,250 lb,,,,,,,16,23:36,95 lb,
16633,Clint Brown,,,,,North America West,Men,,380 lb,,275 lb,420 lb,247,,,3:29,12:13,,20,25:00,210 lb,1:15
16663,Daniela Garcia Bernal,Bahia CrossFit,,"2023 open
26948th
worldwide",26948th,worldwide,Women,Women,215 lb,,155 lb,245 lb,,,,,,,,29:05,135 lb,
16667,James Sanders,Coffs Coast CrossFit,,"2023 open
4675th
worldwide",4675th,worldwide,Men,Men,175 kg,,135 kg,200 kg,,,2:57,,,,50,,110 kg,
16676,Brian McMahon,,,,,Southern California,Men,,,,,350 lb,,,,,,,,,,
16698,Billy Smith,,,,,South Central,Men,,395 lb,,245 lb,435 lb,,,,,,,,23:51,195 lb,
16752,Symantha Donaldson,CrossFit OverTake,,"2023 open
94294th
worldwide",94294th,worldwide,Women,Women,275 lb,,201 lb,280 lb,,,,,,,21,,140 lb,
16784,Lynde Coy,CrossFit Velox,,,,United States,Women,,175 lb,,115 lb,206 lb,,,,,,,18,,90 lb,
16788,Jose David Rosero Saavedra,Naru CrossFit,,"2023 open
21205th
worldwide",21205th,worldwide,Men,Men,355 lb,,280 lb,405 lb,,,4:14,2:13,,,50,23:16,205 lb,1:14
16817,Gerardo Gonzalez Hidalgo,CrossFit Absoluto,,"2023 quarterfinals
207th
North America West",207th,North America West,Men,Men,415 lb,,335 lb,515 lb,,,2:21,2:32,10:31,,40,,270 lb,
16834,Kelsey Wilkins,Koda CrossFit Tulsa,,,,North America,Women,,225 lb,,155 lb,210 lb,287,26:43,5:03,2:48,10:46,,23,20:42,120 lb,1:30
16839,Alexis Kowalsky,CrossFit Salire,,,,North America,Women,,275 lb,,215 lb,350 lb,,,3:26,,,,,,180 lb,
16851,Jake Bodine,,,,,North America West,Men,,385 lb,,255 lb,450 lb,328,24:30,4:45,2:14,,,,24:30,205 lb,1:07
