,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
16786,Madison Meadows Reep,,,,,Mid Atlantic,Women,,190 lb,,125 lb,200 lb,,30:59,,,,,6,,95 lb,
16817,Pierre Dorez,M34 CrossFit South,,"2023 quarterfinals
221st
worldwide",221st,worldwide,Men,Men (40-44),125 kg,,110 kg,170 kg,,,,,,,60,14:45,88 kg,
16835,Mike Suffredini,Dynamis CrossFit,,,,West Coast,Men,,285 lb,,225 lb,400 lb,,,6:01,3:53,,,53,,165 lb,
16837,Deanna Rawding,902 Athletics CrossFit,,"2023 open
1077th
worldwide",1077th,worldwide,Women,Women (50-54),160 lb,,125 lb,235 lb,286,33:45,7:43,4:40,14:04,,,21:36,105 lb,
16842,Jp Abgrall,CrossFit Linchpin,,,,North America,Men,,235 lb,,,275 lb,,45:00,9:22,,12:43,,,,,
16861,Elena Beene,CrossFit Vital,,,,United States,Women,,220 lb,,175 lb,275 lb,,,,,,,,,130 lb,
16873,Brian McClaren,Adapt and Conquer CrossFit,,"2023 open
14865th
worldwide",14865th,worldwide,Men,Men (35-39),245 lb,,215 lb,335 lb,,,,,,,,,135 lb,
16895,Daniel Gladstone,CrossFit South Brooklyn,,,,North America East,Men,,,,78 kg,320 lb,,,,,,,,,75 kg,
16908,Jeff Nilsson,TML CrossFit,,"2023 open
487th
worldwide",487th,worldwide,Men,Men (35-39),365 lb,,295 lb,445 lb,,19:08,2:30,2:45,7:33,,56,18:00,220 lb,
16918,Alex Likerman,CrossFit Watch City,,"2023 open
2897th
worldwide",2897th,worldwide,Men,Men (45-49),345 lb,,205 lb,375 lb,319,23:15,4:00,3:01,8:22,,40,20:50,150 lb,1:07
16932,Dominic Drury,Stronger Together CrossFit,,,,Europe,Men,,210 kg,,150 kg,273 kg,,,3:07,1:52,11:43,,38,22:16,115 kg,
16933,Hunter Miles,CrossFit Lifted,,,,North America,Women,,205 lb,,155 lb,235 lb,,,,,,,21,,140 lb,
