Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Aaron Knisley,CrossFit Future,,North America East,Men,262,North America East,quarterfinals,470,355,535,285,,,,,,154,84,,,
Dorothy Morentin,CrossFit Training Yard,,North America West,Women,262,North America West,quarterfinals,330,235,340,185,,40,,,,157,,,,
Danilo Cavalcante,CrossFit Waya,,South America,Men,262,South America,quarterfinals,435,325,495,245,,,,,,134,,,,
Derek Nelson,CrossFit Watauga,,North America West,Men,263,North America West,quarterfinals,365,275,505,230,,,,,,,,,,
Sean Smith,CrossFit DT1,,North America East,Men,263,North America East,quarterfinals,,,,,,,,,,161,160,,,
Stephanie McGuffie,CrossFit Brigade,,North America East,Women,263,North America East,quarterfinals,340,230,340,205,385,,,,1300,203,62,,,
Isabelle Haupert,CrossFit Grillen,,Europe,Women,264,Europe,quarterfinals,231.4851,187.3927,286.6006,143.3003,,25,,,,221,,,,
Jeffrey Dupuis,CrossFit Closer,,North America East,Men,265,North America East,quarterfinals,360,300,442,245,,60,,,,157,117,,,
Radoslav Ivanov,CrossFit Vitosha,,Europe,Men,266,Europe,quarterfinals,425.49166,315.26066,485.0164,255.73592,,60,,,,163,,,1307,72
Cristiana Santos,,,Europe,Women,266,Europe,quarterfinals,231.4851,176.3696,249.12206,143.3003,,,,,,,,,,
Christine Middleton,Rhino CrossFit,,worldwide,Women,266,worldwide,open,355,285,370,220,,,,,1706,125,194,660,,
Tyler Hickey,CrossFit Border,,Oceania,Men,267,Oceania,quarterfinals,352.7392,308.6468,440.924,209.4389,,51,,,,,,,1241,62
Anna Maguire,,,North America West,Women,267,North America West,quarterfinals,265,200,295,165,,,,,,229,,587,,
Eleni Smith,CrossFit Beowulf,,Europe,Women,267,Europe,quarterfinals,246.91744,200.62042,324.07914,141.09568,,,,,,,128,592,,86
Guilherme Mattenhauer Lopes,CrossFit Extreme Force,,South America,Men,267,South America,quarterfinals,310,245,400,195,,33,,,1162,,132,,,
Zachary Gordon,Ballast CrossFit,,North America West,Men,267,North America West,quarterfinals,335,255,480,205,,50,,,,157,81,435,1091,53
Luka Perko,,,Europe,Men,268,Europe,quarterfinals,467.37944,352.7392,507.0626,297.6237,,65,,,,179,110,540,,
Alex Dzierbicki,,,North America West,Men,268,North America West,quarterfinals,455,315,515,255,,50,,,,186,186,,1490,
Mitch Nanny,CrossFit SPEED,,Oceania,Men,268,Oceania,quarterfinals,330.693,275.5775,462.9702,231.4851,,43,,,,211,,,,
Lisa Burrill,CrossFit EXF,,worldwide,Women,268,worldwide,open,231.4851,,271.16826,,,,,,,,,,,
Anita Bunton,Hilltop CrossFit,,Oceania,Women,268,Oceania,quarterfinals,194.00656,154.3234,253.5313,110.231,,,,,,,,,,
Luis Dotta,Bushido CrossFit,,South America,Men,269,South America,quarterfinals,396.8316,275.5775,429.9009,202.82504,,65,,,,260,270,,,
Richard Whitley,CrossFit Dire Wolf,,Europe,Men,269,Europe,quarterfinals,385.8085,297.6237,540.1319,244.71282,,,,,,,,,1204,
Kerry Cofer,Chainbreakers CrossFit,,North America East,Men,269,North America East,quarterfinals,415,300,455,235,,,,,,155,107,,,60
Max Camozzi,West Leeds CrossFit,,Europe,Men,270,Europe,quarterfinals,379.19464,297.6237,496.0395,224.87124,,65,,,1534,137,71,,1198,59
Isley Boyarski,CrossFit Free,,North America East,Women,270,North America East,quarterfinals,265,225,340,150,272,51,,,1615,287,183,588,1800,84
Gage Capel,Wasatch CrossFit,,North America West,Men,270,North America West,quarterfinals,405,305,465,255,,,,,,,,,,
Theo Gilibert,,,Europe,Men,272,Europe,quarterfinals,374.7854,275.5775,396.8316,220.462,,,,,,,,,,
Jason Carroll,CrossFit Tustin,,North America West,Men,272,North America West,quarterfinals,450,323,565,252,,,,,,121,83,,1141,
Hanna Karlsson,CrossFit Prestanda,,worldwide,Women,273,worldwide,open,297.6237,231.4851,376.99002,191.80194,,,,,,,,,,
Jeffrey Miller,CrossFit Polaris,,North America East,Men,274,North America East,quarterfinals,305,135,255,201,38,,,,,177,740,,,
Maria Ackley,Tarheel CrossFit,,North America East,Women,275,North America East,quarterfinals,280,205,347,160,,,,,,,,,,
Jocelyn Susarrey,CrossFit Fortius East,,North America West,Women,275,North America West,quarterfinals,240,195,290,140,,,,,,,212,511,,
Aldo Fontana,CrossFit Kreis 9,,South America,Men,275,South America,quarterfinals,374.7854,286.6006,473.9933,255.73592,,,,,,184,170,,,
Sami Scorzelli,Stay Strong CrossFit,,worldwide,Women,275,worldwide,open,300,190,325,165,,,,,,147,,513,,
Jake Priest,CrossFit Helo,,North America West,Men,277,North America West,quarterfinals,405,330,495,250,,,,,,,92,542,,
Bailey MacDonald,,,North America East,Men,277,North America East,quarterfinals,435,315,500,260,,,,,,140,,,,
Victoria Ashley,CrossFit NCS,,North America West,Women,278,North America West,quarterfinals,270,220,325,175,,37,,,,,,,,
Bethany Larson,CrossFit Thousand Lakes,,North America West,Women,279,North America West,quarterfinals,250,195,265,155,,35,,,,169,,,,
Michael Rose,Mountain Top CrossFit,,North America East,Men,279,North America East,quarterfinals,485,335,585,275,,,,,,131,88,,1080,55
Breezy Leins,RFS CrossFit,,North America East,Women,281,North America East,quarterfinals,270,230,385,180,,,,,,206,87,,1420,
Jeremy Lancaster,CrossFit Oconee,,worldwide,Men,281,worldwide,open,440,335,475,265,360,75,,,,128,105,440,,
Liam Stump,Interval Plus CrossFit,,Europe,Men,281,Europe,quarterfinals,429.9009,286.6006,485.0164,216.05276,,55,,,,137,,,1074,
Marcella Hunnicutt,New Species CrossFit,,worldwide,Women,282,worldwide,open,280,235,340,182,368,40,,,,134,84,,,73
Tracy Cohn,CrossFit Fortem,,North America West,Women,282,North America West,quarterfinals,325,225,375,160,378,43,,,1434,142,132,523,1447,77
Kayla Keene,CrossFit Sabal Park,,North America East,Women,284,North America East,quarterfinals,265,205,305,155,,30,,,,168,,,,
Dylan Couch,CrossFit Central Houston,,North America West,Men,285,North America West,quarterfinals,495,315,585,250,,,,,,,,525,1470,
Anna Williams,CrossFit Kokomo,,North America East,Women,285,North America East,quarterfinals,285,220,325,180,370,40,,,,227,97,507,1284,
Emma Valembois,2 Rives CrossFit,,Europe,Women,286,Europe,quarterfinals,319.6699,255.73592,341.7161,,,,,,,,,,,
Thomas Sørensen,CrossFit North 579,,Europe,Men,286,Europe,quarterfinals,440.924,352.7392,540.1319,275.5775,,,,,,,,,1290,60
Juliana Braz,CrossFit Alvalade,,Europe,Women,286,Europe,quarterfinals,209.4389,158.73264,220.462,132.2772,,26,,,,,,,,
Ean Phillips,CrossFit Soul Miami,,North America East,Men,286,North America East,quarterfinals,377,295,440,250,,37,,,,233,209,474,,62
Daniel Corica,The Shed CrossFit,,Oceania,Men,286,Oceania,quarterfinals,341.7161,264.5544,440.924,200.62042,384,50,,,1140,145,108,473,1196,
Brooke Austin,Wasatch CrossFit,,North America West,Women,287,North America West,quarterfinals,260,200,300,155,,,,,,,,,,
Juan Alvarez,Mudeford Quay CrossFit,,South America,Men,287,South America,quarterfinals,354.94382,286.6006,429.9009,220.462,365,35,,,,191,150,527,1320,74
Chin-Sheng Chou,L7 CrossFit Ba Ke Si,,Asia,Men,288,Asia,quarterfinals,355,265,395,215,265,,,,,263,223,,,
Stef Lig,CrossFit Chester Le Street,,Europe,Men,289,Europe,quarterfinals,374.7854,253.5313,418.8778,187.3927,,41,,,,214,127,453,,
Abbey Wright,CrossFit Leicester,,Europe,Women,289,Europe,quarterfinals,297.6237,231.4851,313.05604,169.75574,335,25,,,,230,99,817,1719,
Liam Wright,CrossFit Creative,,Oceania,Men,289,Oceania,quarterfinals,396.8316,286.6006,418.8778,220.462,,25,,,,264,345,630,,
Hannah Hill,CrossFit Central Wellington,,Oceania,Women,290,Oceania,quarterfinals,213.84814,176.3696,253.5313,136.68644,,41,,,,252,,481,,
Cullam Ross-Davie,Mount CrossFit,,Oceania,Men,290,Oceania,quarterfinals,462.9702,319.6699,573.2012,253.5313,,40,,,,154,,,960,58
Joshua Rudesill,CrossFit Lakeville,,North America West,Men,290,North America West,quarterfinals,425,275,415,235,,,,,,,130,,,68
Daniella Verhoest,CrossFit 908,,North America East,Women,291,North America East,quarterfinals,303,231,345,190,,30,,,,157,114,622,,
Seth Prochazka,,,North America West,Men,291,North America West,quarterfinals,515,400,560,280,,47,,,,123,,,,56
Victor Paiva,CrossFit Cromo,,South America,Men,292,South America,quarterfinals,348.32996,253.5313,418.8778,187.3927,,51,,,,168,140,567,,66
Caleb Toews,Koda CrossFit Tulsa,,North America West,Men,294,North America West,quarterfinals,355,280,425,220,,49,,,,139,,,,
Brad Chew,CrossFit Standard Strength,,North America West,Men,295,North America West,quarterfinals,405,315,430,245,,45,,,,,,,,
Paolo Rossil,Al Quoz CrossFit,,North America East,Men,295,North America East,quarterfinals,485,335,495,275,,,,,,112,110,,,
Rick Wagner,CrossFit Aorta,,Europe,Men,295,Europe,quarterfinals,374.7854,308.6468,473.9933,268.96364,,,,,,151,,,1185,65
Jessica Dannheimer,CrossFit eo,,Europe,Women,295,Europe,quarterfinals,282.19136,200.62042,352.7392,171.96036,,38,,,,238,111,570,,
Meagan Yoakley,CrossFit 970,,North America West,Women,296,North America West,quarterfinals,295,205,325,165,,,,,,181,142,,,
Ben Smith,CrossFit Krypton,,North America East,Men,296,North America East,quarterfinals,480,335,540,300,520,76,,,977,145,111,439,1220,58
Cameron Ware,Ocean Fitness CrossFit,,Oceania,Men,298,Oceania,quarterfinals,396.8316,310.85142,529.1088,253.5313,,,,,,,,,,
Kevin Gates,CrossFit ONE Nation,,North America East,Men,300,North America East,quarterfinals,375,265,435,205,,53,,,,,,,,
Blayr Drumm,CrossFit Virtus,,North America West,Women,300,North America West,quarterfinals,270,220,340,155,400,,,,,202,111,513,,
Jose Rodrigo Agreda-Osinaga,CrossFit Jersey City,,South America,Men,301,South America,quarterfinals,455,330,510,240,439,69,,,923,120,78,428,1155,58
Marilyn Wilmot,CrossFit Triple River,,North America East,Women,302,North America East,quarterfinals,195,145,275,115,185,10,,,1632,255,225,558,1495,76
Chema Arriaga,Yo Soy CrossFit,,Europe,Men,302,Europe,quarterfinals,,,396.8316,242.5082,,70,,,,,,,,
Ben Silvester,CrossFit Dux,,Oceania,Men,304,Oceania,quarterfinals,396.8316,308.6468,518.0857,235.89434,,,,,,,,,,
Andrew Hernandez,CrossFit Reason,,North America West,Men,304,North America West,quarterfinals,425,345,485,280,,51,,,,,,,,
Nicolas Habas,CrossFit First Time,,Europe,Men,304,Europe,quarterfinals,385.8085,319.6699,473.9933,242.5082,,55,,,,132,,,,62
Kris Gokey,Kulak CrossFit,,North America West,Men,305,North America West,quarterfinals,355,300,455,225,485,40,,,,160,210,,1140,71
Nick Rees,CrossFit Franco's,,North America West,Men,305,North America West,quarterfinals,430,325,525,280,370,40,,,1171,141,69,476,1267,
Janie Garratt,CrossFit BFG,,worldwide,Women,305,worldwide,open,308.6468,198.4158,143,171.96036,,,,,,168,,,,
Alex Carravetta,CrossFit Kenosha,,North America East,Men,305,North America East,quarterfinals,410,315,520,262,431,60,,,,152,,497,1245,66
Joseph Schillaci,FitHouse CrossFit,,North America East,Men,307,North America East,quarterfinals,425,325,455,260,393,,,,1197,142,,,1080,
Jonathan Mercurio,CrossFit Altessano,,Europe,Men,307,Europe,quarterfinals,407.8547,319.6699,551.155,253.5313,,,,,,,,,,
Craig Preston,CrossFit Bambu,,Oceania,Men,307,Oceania,quarterfinals,405,285,445,270,,50,,,,182,117,,,
Julie Carton-Delcourt,CrossFit Mons,,Europe,Women,308,Europe,quarterfinals,264.5544,211.64352,352.7392,158.73264,,,,,,,,,,
Miranda Kelly,Muskegon CrossFit,,North America East,Women,308,North America East,quarterfinals,280,210,350,155,,,,,,,,,,
Max Menard,CrossFit Franco's,,North America West,Men,308,North America West,quarterfinals,405,315,445,270,,56,,,,134,128,,,
Julián Alcaraz,Street Parking CrossFit,,worldwide,Men,309,worldwide,open,485,350,537,275,,75,,,,144,72,,1124,
Matheus Rosa,Paracatu CrossFit,,South America,Men,309,South America,quarterfinals,335,285,415,225,350,65,,,,162,135,535,1205,
Justin Krautz,Man Made CrossFit,,North America West,Men,309,North America West,quarterfinals,500,340,600,245,,52,,,,150,140,524,1299,55
Stephen Davis,CrossFit Aylesbury,,Europe,Men,310,Europe,quarterfinals,,,440.924,,,,,,,,,,,
Svetlana Patimova,CrossFit Grenzgänger,,Europe,Women,310,Europe,quarterfinals,255.73592,200.62042,286.6006,156.52802,,,,,,196,229,,,
Candy Lowcock,CrossFit Origin,,Oceania,Women,311,Oceania,quarterfinals,341.7161,220.462,330.693,165.3465,315,25,,,,213,149,,,
Stavri Stavrev,,,Europe,Men,311,Europe,quarterfinals,396.8316,275.5775,440.924,209.4389,,60,,,,136,,,1221,66
Patrick Treiber-Grahm,CrossFit Treibstoff,,Europe,Men,312,Europe,quarterfinals,440.924,330.693,573.2012,275.5775,,50,,,,140,119,,,
Luke Karsana,CrossFit Reason,,North America West,Men,313,North America West,quarterfinals,405,325,455,260,,50,,,,156,,,1198,78
Matthew Jordan,Five Forks CrossFit,,North America East,Men,313,North America East,quarterfinals,335,265,405,215,,56,,,,156,157,509,1297,
Siri Rohmesmo,CrossFit Dragons Den,,Europe,Women,313,Europe,quarterfinals,253.5313,169.75574,319.6699,154.3234,,,,,,240,,,1680,
Brad Miller,CrossFit 209 Sport,,worldwide,Men,314,worldwide,open,440,320,500,265,425,,,,,,,,,
Rachel Frazer,CrossFit Fort Lauderdale,,North America East,Women,314,North America East,quarterfinals,287,205,360,143,,50,,,,171,149,562,1507,66
Matthew de Montfort,CrossFit Never Quit,,Oceania,Men,314,Oceania,quarterfinals,175,253.5313,465.17482,198.4158,,,,,,215,154,,,
Dora Birgisdottir,CrossFit Yas,,Europe,Women,314,Europe,quarterfinals,255,190,287,155,,,,,,,,,,
Caitlin Hostetter,Gold Standard Athletics CrossFit,,North America West,Women,314,North America West,quarterfinals,225,180,255,130,,,,,,,,,,
Chris Dunn,CrossFit Woodbine,,worldwide,Men,315,worldwide,open,425,330,525,255,,,,,,121,92,,,54
Curtis Garrow,Champlain Valley CrossFit,,North America East,Men,315,North America East,quarterfinals,440,345,455,255,,,,,,,,,,
Weili Li,PickC CrossFit,,Asia,Men,315,Asia,quarterfinals,385.8085,286.6006,440.924,233.68972,,40,,,,210,138,,1500,
Oscar Patarroyo-Avila,CrossFit Real Fitness,,South America,Men,316,South America,quarterfinals,415,275,415,225,,,,,,148,225,,1249,61
Tara Demers,CrossFit Hype,,worldwide,Women,316,worldwide,open,300,235,330,185,,65,,,,132,99,483,,
Joao De Souza,United Front CrossFit,,South America,Men,317,South America,quarterfinals,385,265,445,220,,,,,,239,,,,68
Justin Zizumbo,Salty Hive CrossFit,,North America West,Men,318,North America West,quarterfinals,405,335,475,250,389,,,,1395,135,133,435,1357,
Katie Gavin,CrossFit Rise,,North America East,Women,318,North America East,quarterfinals,202.82504,143.3003,282.19136,108.02638,,,,,,,,,,
Maria Albertsen,CrossFit Butcher's Lab,,Europe,Women,318,Europe,quarterfinals,242.5082,187.3927,297.6237,143.3003,,,,,,232,,,,69
Charlotte Gomersall,CrossFit Utopia,,Europe,Women,319,Europe,quarterfinals,227.07586,198.4158,286.6006,160.93726,,,,,,,,,,
Charles Owings,CrossFit 301 Elite,,North America East,Men,319,North America East,quarterfinals,455,335,525,275,,,,,,,,,,
Marie Laurence Leclair,CrossFit The Flying V,,North America East,Women,321,North America East,quarterfinals,290,210,345,165,307,,,,,125,101,,,
Chandler Huskey,CrossFit Jenks,,North America West,Women,322,North America West,quarterfinals,300,220,305,165,,,,,,155,116,,,
Donna Fallon,Marlin Coast CrossFit,,Oceania,Women,322,Oceania,quarterfinals,110,75,286.6006,55,,,,,,208,,,,
Matt Benoit,Orleans CrossFit,,North America East,Men,323,North America East,quarterfinals,405,295,525,225,321,35,,,,166,,,1260,67
Shannon Macgregor,CrossFit Hastings,,Oceania,Women,323,Oceania,quarterfinals,253.5313,211.64352,297.6237,176.3696,,,,,,,,,,
Preston Breece,CrossFit Miramar Beach,,North America East,Men,324,North America East,quarterfinals,550,385,565,,,,,,,,,,,
Amanda Smith,Cloud Peak CrossFit,,North America West,Women,324,North America West,quarterfinals,225,195,295,150,,20,,,,194,103,,,
Hafsteinn Gunnlaugsson,CrossFit Reykjavík,,worldwide,Men,324,worldwide,open,396.8316,286.6006,473.9933,233.68972,,,,,,,,,1482,
Elin Söderström,24N46E CrossFit,,Europe,Women,324,Europe,quarterfinals,,187.3927,,154.3234,,,,,,,,,,
Edwin Del Pezo,Compa CrossFit,,South America,Men,324,South America,quarterfinals,,,,,,,,,,,,,,60
Henry Jordan Vecchi,Maddock CrossFit,,South America,Men,325,South America,quarterfinals,374.7854,308.6468,456.35634,242.5082,,33,,,,,,,,
Austin Rowe,CrossFit Clout,,North America West,Men,325,North America West,quarterfinals,420,325,505,260,,65,,,,125,,,1170,58
Filippa Ferm,CrossFit Fabriken Västerbro,,worldwide,Women,326,worldwide,open,230,200,,165,,,,,,,,,,
Liam Tomkins,Ocean Fitness CrossFit,,Oceania,Men,326,Oceania,quarterfinals,374.7854,231.4851,465.17482,176.3696,,50,,,,,,,,
Steven Cristini,CrossFit Markham,,North America East,Men,326,North America East,quarterfinals,417,325,520,265,,37,,,,171,111,,,
Kelsey Kiel,Geaux CrossFit,,worldwide,Women,328,worldwide,open,370,275,385,210,,,,,,,,,,
Feidias Psilogeni,,,Europe,Men,328,Europe,quarterfinals,374.7854,297.6237,529.1088,249.12206,,,,,,149,,,1205,60
Ellen Keller,CrossFit Draper,,North America West,Women,329,North America West,quarterfinals,255,185,315,140,408,,,,1275,254,136,,,
Broc Kocour,CrossFit Time Warp,,North America East,Men,329,North America East,quarterfinals,445,335,525,270,,,,,,129,,,,
Alexander Baker,University of Nevada CrossFit,,North America West,Men,330,North America West,quarterfinals,410,305,510,235,,,,,,,,,,
Julianne Farewell,CrossFit Gorilla,,North America East,Women,330,North America East,quarterfinals,,215,,160,,,,,,,78,,,
Jacinda Lawrence,,,Oceania,Women,330,Oceania,quarterfinals,264.5544,198.4158,304.23756,143.3003,,27,,,,242,165,625,,81
Phil Cress,Breaker CrossFit,,North America East,Men,331,North America East,quarterfinals,425,320,455,265,425,31,,,,216,118,500,1290,64
Joshua Corso,CrossFit Derive,,North America West,Men,333,North America West,quarterfinals,435,305,535,255,,,,,,157,95,516,,
Kevin Barraez,,,South America,Men,333,South America,quarterfinals,485.0164,341.7161,440.924,264.5544,,,,,,168,,,,
Jake Julian,CrossFit Lupos,,North America East,Men,334,North America East,quarterfinals,405,300,425,245,,,,,,,,,,
Isaline Sander,CrossFit Canmore,,North America West,Women,334,North America West,quarterfinals,290,190,300,155,,,,,1243,,,650,,
Josiane Rioux,L'Usine CrossFit Sherbrooke,,North America East,Women,334,North America East,quarterfinals,230,180,245,145,,,,,,,,,,
Shana Maldonado,Rock Pile CrossFit,,North America East,Women,334,North America East,quarterfinals,295,215,335,175,,,,,,237,107,,,
Nadine Kramel,CrossFit Fig,,North America West,Women,336,North America West,quarterfinals,290,220,290,180,436,35,,,1350,183,109,520,1306,76
Johanus Bakhuis,CrossFit 040,,Europe,Men,338,Europe,quarterfinals,345,295,415,220,,58,,,,147,134,,,
Cory McCleaf,CrossFit Pineville,,North America East,Men,338,North America East,quarterfinals,387,275,525,231,387,70,,,1451,146,102,428,1309,69
Khan Porter,CrossFit Play,,Oceania,Men,338,Oceania,quarterfinals,440.924,352.7392,551.155,293.21446,468,50,,,1000,121,70,,1171,
Garrett Sager,CrossFit Northland,,North America West,Men,339,North America West,quarterfinals,440,340,500,265,,,,,,,,,,
Tyler Lloyd,CrossFit Des Moines,,North America West,Men,340,North America West,quarterfinals,435,335,445,280,,,,,,141,96,,1425,77
Jonathan Sindel,Riginal CrossFit Nürnberg,,Europe,Men,340,Europe,quarterfinals,407.8547,275.5775,462.9702,209.4389,,,,,,,,,,
Britta Castillo,Glass City CrossFit,,North America East,Women,340,North America East,quarterfinals,185,170,275,145,,30,,,,180,150,,1260,70
Gustavo Trasancos,,,North America West,Men,341,North America West,quarterfinals,445,315,485,250,,,,,,,,,,
Rachel Gavin,,,Oceania,Women,341,Oceania,quarterfinals,286.6006,194.00656,297.6237,143.3003,,30,,,,179,95,,1250,
Ziyuan Zou,CrossFit Mobilus Clarke Quay,,Asia,Men,342,Asia,quarterfinals,405,305,505,200,,,,,1737,,,,,
Marilyn Kelleher,Brute Fitness CrossFit,,North America East,Women,343,North America East,quarterfinals,290,235,350,190,,65,,,,146,92,,1440,54
Claudia Hernandez,Rakun CrossFit,,North America West,Women,343,North America West,quarterfinals,275,205,335,152,,,,,,,,,,
Daniel Stutzman,CrossFit Lena,,North America East,Men,344,North America East,quarterfinals,385.8085,,496.0395,,,,,,,,,,,
David Scarpim,CrossFit Passos,,South America,Men,344,South America,quarterfinals,374.7854,253.5313,352.7392,194.00656,,30,,,,,,,1740,
Maggie Whybird,City 4051 CrossFit,,Oceania,Women,345,Oceania,quarterfinals,,,,,,32,,,,,121,,,
Ian Kane,CrossFit Powerstroke,,North America West,Men,346,North America West,quarterfinals,415,,525,,,,,,,,,,,
Tyler Ward,CrossFit Credence,,North America West,Men,347,North America West,quarterfinals,360,310,485,250,,49,,,,162,,,1695,
