Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Todd Davidson,CrossFit Wollongong,,Oceania,Men,419,Oceania,quarterfinals,297.6237,187.3927,,149.91416,,,,,,238,,,,
Ola Hjelmar,,,Europe,Men,421,Europe,quarterfinals,,286.6006,429.9009,231.4851,,,,,,,,,,
Jonas Reichert,CrossFit Biberach an der Riss,,Europe,Men,422,Europe,quarterfinals,22.0462,,,,,,,,,,,,,
Stephen Bart,CrossFit Reconstructed,,North America East,Men,422,North America East,quarterfinals,400,305,525,245,,,,,,,,,1374,
Jorge Luis Ceja Razon,CrossFit Achieve,,North America West,Men,423,North America West,quarterfinals,,,,,,,,,,168,330,478,1070,
Hayden Davie,CrossFit Dux,,Oceania,Men,423,Oceania,quarterfinals,418.8778,297.6237,485.0164,231.4851,,,,,,,,,,
Szymon Urbański,,,Europe,Men,424,Europe,quarterfinals,374.7854,313.05604,440.924,253.5313,,,,,,,,,,
Gabriella Broussard,CrossFit Iron Mile,,North America West,Women,424,North America West,quarterfinals,290,225,305,165,,,,,,179,180,,,
Thomas Wilson,CrossFit Dubbo,,Oceania,Men,425,Oceania,quarterfinals,352.7392,253.5313,462.9702,202.82504,,,,,,154,158,507,,
Adrian Magallon,Red Grizzly CrossFit,,Europe,Men,426,Europe,quarterfinals,451.9471,299.82832,473.9933,235.89434,,,,,,210,128,,,
Kelvin Kwek,CrossFit Mobilus Clarke Quay,,Asia,Men,426,Asia,quarterfinals,325,,415,225,,,,,,,,,,90
Nolan Gauthier,CrossFit Luke,,North America East,Men,427,North America East,quarterfinals,475,355,510,275,427,39,,,1218,140,100,,,64
Evan Smith,Double Down CrossFit,,North America West,Men,428,North America West,quarterfinals,405,315,445,238,,50,,,,,112,,,57
Tyler Tomerlin,,,North America West,Men,429,North America West,quarterfinals,415,315,525,250,365,,,,1461,137,113,502,,
Heather Loflin,,,North America West,Women,429,North America West,quarterfinals,250,195,275,170,,35,,,,225,,,,
Joseph Halim,,,Asia,Men,429,Asia,quarterfinals,396.8316,286.6006,529.1088,242.5082,,32,,,,149,111,,1714,
Pierre Tondini,Immanis CrossFit,,Europe,Men,430,Europe,quarterfinals,418.8778,297.6237,529.1088,227.07586,,,,,,,,,,
Joseph Vachon,DeepRoots CrossFit,,North America East,Men,431,North America East,quarterfinals,415,325,495,255,444,55,,,,149,,,1335,
Antonia Falt-Kottulinsky,CrossFit Walleye,,worldwide,Women,431,worldwide,open,310.85142,233.68972,330.693,198.4158,,,,,,,,,,
Kay Ziesemer,CrossFit Purmerend,,Europe,Men,433,Europe,quarterfinals,,,,,,,,,,,,,1378,
Ellen Smith,CrossFit Papio,,North America West,Women,433,North America West,quarterfinals,230,185,315,140,292,,,,,405,,,,
Jalen Smith,CrossFit URU,,North America West,Men,433,North America West,quarterfinals,495,315,595,240,,43,,,,118,133,,1283,61
Trae Weiss,Covenant CrossFit,,North America East,Men,434,North America East,quarterfinals,460,325,475,255,,,,,,164,118,,,
Abigail Murphy,CrossFit 563,,North America West,Women,434,North America West,quarterfinals,230,183,285,135,,,,,,,,,,
Callum Barnes,CrossFit Minerva,,Oceania,Men,434,Oceania,quarterfinals,368.17154,264.5544,451.9471,216.05276,,38,,,,200,247,510,1440,
Marissa Oxenford,Cigar City CrossFit,,North America East,Women,435,North America East,quarterfinals,235,165,300,130,,,,,,234,145,525,,
Natalie Esler,Nepean CrossFit,,Oceania,Women,437,Oceania,quarterfinals,190,135,245,115,371,24,,,1283,298,188,593,1571,79
Emily Wilson,CrossFit Ballina,,Oceania,Women,437,Oceania,quarterfinals,,,,,,,,,,,,545,,
Michael Klostermann,CrossFit Valley Junction,,North America West,Men,437,North America West,quarterfinals,395,315,465,265,,55,,,1095,150,136,720,1080,
